id,title,text,website,link,timestamp
157, Microsoft unveils 2.7B parameter language model Phi-2,"Microsoft’s 2.7 billion-parameter model Phi-2 showcases outstanding reasoning and language understanding capabilities, setting a new standard for performance among base language models with less than 13 billion parameters.",artificialintelligence-news.com,https://cur.at/K9cKqMD?m=web,1727025213.873157
158, Exploring the Best Free AI Image Generators," In this blog post, we’ll delve into some of the best free AI image generators, empowering you to transform your ideas into stunning visuals effortlessly.",medium.com,https://cur.at/I2furMP?m=web,1727025213.873157
159,Google says new AI model Gemini outperforms ChatGPT in most tests,"Google has unveiled a new artificial intelligence model that it claims outperforms ChatGPT in most tests and displays “advanced reasoning” across multiple formats, including an ability to view and mark a student’s physics homework.",theguardian.com,https://cur.at/Kgmc2u4?m=web,1727025220.377434
160,How AI ‘sees’ the world – what happened when we trained a deep learning model to identify poverty,"Our team has used a type of AI known as a deep convolutional neural network (DCNN) to study satellite imagery and identify some types of poverty with a level of accuracy close to that of household surveys.
Our findings revealed that the DCNN, enhanced by this specialised training, could surpass...",theconversation.com,https://cur.at/WEA0qGj?m=web,1727025220.377434
161,Who will win the battle for AI in the cloud? ,"Accc. to run Chandrasekaran, distinguished vice president analyst at Gartner Inc., Microsoft has the early-mover advantage because of its investment in OpenAI and is bringing a lot of OpenAI models into the Azure cloud.",siliconangle.com,https://cur.at/8DAJ1fz?m=web,1727025220.377434
162,Understanding Cisco’s Generative Artificial Intelligence Strategy,"Over the past decade, Cisco tapped into the power of AI to improve threat detection, provide better customer support, and collect richer insights.
It signifies a leap towards more creative, efficient, and flexible AI applications, reshaping customer experiences and operational...",networkcomputing.com,https://cur.at/sWR0cpA?m=web,1727025220.377434
163,Interview: Sam Altman on being fired and rehired by OpenAI,"When OpenAI’s board asked Sam Altman to return a day after they fired him, he initially felt defiant, hurt and angry.",theverge.com,https://cur.at/d0ad7NZ?m=web,1727025227.05639
164,"The Path to General AI and Responsible AI, the most recent research of Vaishnavi Visweswariah","These courses provided extensive expertise in Python, cloud technologies, Data Science, application development, healthcare management, and machine learning engineering.",digitaljournal.com,https://cur.at/CrxooqY?m=web,1727025227.05639
165,"Apple and Google avoid naming ChatGPT as their ‘app of the year,’ picking AllTrails and Imprint instead","Both Apple and Google today announced their best apps and games of the year, with the hiking and biking companion AllTrails winning as Apple’s iPhone App of the Year in 2023, while the educational app Imprint: Learn Visually won as Google Play’s best app.",techcrunch.com,https://cur.at/2fotfnm?m=web,1727025227.05639
166, AWS and NVIDIA expand partnership to advance generative AI,"Amazon Web Services (AWS) and NVIDIA have announced a significant expansion of their strategic collaboration at AWS re:Invent. The collaboration aims to provide customers with state-of-the-art infrastructure, software, and services to fuel generative AI innovations.",artificialintelligence-news.com,https://cur.at/FQRHQcD?m=web,1727025227.05639
167,How to talk about the OpenAI drama at Thanksgiving dinner,"You’ve just landed in Dayton, Ohio after a long, overnight journey from SFO. While you were waiting in Denver on a layover, you checked your phone to see the news: After almost a week of confusion and uncertainty, Sam Altman has been reinstated as CEO of OpenAI.",techcrunch.com,https://cur.at/7mHueiF?m=web,1727025233.821697
168,"Your guide to Thanksgiving, as planned by AI","Whether it’s the exhausting hours in the kitchen, Aunt Lisa’s helping herself to a little too much wine, or Uncle Marc deciding that over desert is the perfect time to launch into a political debate, Thanksgiving is a holiday with plenty of land mines.",fastcompany.com,https://cur.at/W30BQpi?m=web,1727025233.821697
